id,comarca,població
1,Alt Camp,46388
2,Alt Empordà,148732
3,Alt Penedès,114189
4,Alt Urgell,21128
5,Alta Ribagorça,4040
6,Anoia,128432
7,Val d'Aran,10545
8,Bages,185352
9,Baix Camp,204458
10,Baix Ebre,82399
11,Baix Empordà,143443
12,Baix Llobregat,848827
13,Baix Penedès,118350
14,Barcelonès,2354301
15,Berguedà,41058
16,Cerdanya,20115
17,Conca de Barberà,20569
18,Garraf,161907
19,Garrigues,19075
20,Garrotxa,62449
21,Gironès,205573
22,Lluçanès,5718
23,Maresme,472572
24,Moianès,14758
25,Montsià,71460
26,Noguera,39727
27,Osona,164006
28,Pallars Jussà,13383
29,Pallars Sobirà,7332
30,Pla d'Urgell,38111
31,Pla de l'Estany,33564
32,Priorat,9420
33,Ribera d'Ebre,22132
34,Ripollès,25826
35,Segarra,22667
36,Segrià,217853
37,Selva,185264
38,Solsonès,15323
39,Tarragonès,275122
40,Terra Alta,11446
41,Urgell,38531
42,Vallès Occidental,960033
43,Vallès Oriental,426653